source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[individual]	characteristics[age]	characteristics[sex]	characteristics[enrichment marker]	characteristics[cells per well]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[sample type]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[proteomics data acquisition method]	comment[dia method]	comment[isolation window width]	comment[scan window lower limit]	comment[scan window upper limit]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[sample preparation batch]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[organism part]
N1168_J22	NT=Homo sapiens;AC=NCBITaxon:9606	NT=submandibular gland;AC=UBERON:0001736	NT=epithelial fate stem cell;AC=CL:0000036	normal	N1168	not available	not available	DAPI-/CD45-/CD31-/EpCAM+	1	cellenONE	N1168_J22	single cell	1	run 56	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	Data-independent acquisition	diaPASEF	25	400	1000	not available	not available	N1168	1	1	N1168_J22_DIA_ne2_IO_L15_062623_Slot2-51_1_2234.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	submandibular gland
N1168_J23	NT=Homo sapiens;AC=NCBITaxon:9606	NT=submandibular gland;AC=UBERON:0001736	NT=epithelial fate stem cell;AC=CL:0000036	normal	N1168	not available	not available	DAPI-/CD45-/CD31-/EpCAM+	1	cellenONE	N1168_J23	single cell	1	run 57	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	Data-independent acquisition	diaPASEF	25	400	1000	not available	not available	N1168	1	1	N1168_J23_DIA_ne2_IO_L15_062623_Slot2-37_1_2238.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	submandibular gland
N1168_J24	NT=Homo sapiens;AC=NCBITaxon:9606	NT=submandibular gland;AC=UBERON:0001736	NT=epithelial fate stem cell;AC=CL:0000036	normal	N1168	not available	not available	DAPI-/CD45-/CD31-/EpCAM+	1	cellenONE	N1168_J24	single cell	1	run 58	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	Data-independent acquisition	diaPASEF	25	400	1000	not available	not available	N1168	1	1	N1168_J24_DIA_ne2_IO_L15_062623_Slot2-38_1_2239.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	submandibular gland
N1168_K17	NT=Homo sapiens;AC=NCBITaxon:9606	NT=submandibular gland;AC=UBERON:0001736	NT=epithelial fate stem cell;AC=CL:0000036	normal	N1168	not available	not available	DAPI-/CD45-/CD31-/EpCAM+	1	cellenONE	N1168_K17	single cell	1	run 59	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	Data-independent acquisition	diaPASEF	25	400	1000	not available	not available	N1168	1	1	N1168_K17_DIA_ne2_IO_L15_062623_Slot2-39_1_2240.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	submandibular gland
N1168_K18	NT=Homo sapiens;AC=NCBITaxon:9606	NT=submandibular gland;AC=UBERON:0001736	NT=epithelial fate stem cell;AC=CL:0000036	normal	N1168	not available	not available	DAPI-/CD45-/CD31-/EpCAM+	1	cellenONE	N1168_K18	single cell	1	run 60	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	Data-independent acquisition	diaPASEF	25	400	1000	not available	not available	N1168	1	1	N1168_K18_DIA_ne2_IO_L15_062623_Slot2-40_1_2241.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	submandibular gland
N1168_K19	NT=Homo sapiens;AC=NCBITaxon:9606	NT=submandibular gland;AC=UBERON:0001736	NT=epithelial fate stem cell;AC=CL:0000036	normal	N1168	not available	not available	DAPI-/CD45-/CD31-/EpCAM+	1	cellenONE	N1168_K19	single cell	1	run 61	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	Data-independent acquisition	diaPASEF	25	400	1000	not available	not available	N1168	1	1	N1168_K19_DIA_ne2_IO_L15_062623_Slot2-41_1_2242.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	submandibular gland
N1168_K20	NT=Homo sapiens;AC=NCBITaxon:9606	NT=submandibular gland;AC=UBERON:0001736	NT=epithelial fate stem cell;AC=CL:0000036	normal	N1168	not available	not available	DAPI-/CD45-/CD31-/EpCAM+	1	cellenONE	N1168_K20	single cell	1	run 62	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	Data-independent acquisition	diaPASEF	25	400	1000	not available	not available	N1168	1	1	N1168_K20_DIA_ne2_IO_L15_062623_Slot2-42_1_2243.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	submandibular gland
N1168_K21	NT=Homo sapiens;AC=NCBITaxon:9606	NT=submandibular gland;AC=UBERON:0001736	NT=epithelial fate stem cell;AC=CL:0000036	normal	N1168	not available	not available	DAPI-/CD45-/CD31-/EpCAM+	1	cellenONE	N1168_K21	single cell	1	run 63	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	Data-independent acquisition	diaPASEF	25	400	1000	not available	not available	N1168	1	1	N1168_K21_DIA_ne2_IO_L15_062623_Slot2-43_1_2244.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	submandibular gland
N1168_K22	NT=Homo sapiens;AC=NCBITaxon:9606	NT=submandibular gland;AC=UBERON:0001736	NT=epithelial fate stem cell;AC=CL:0000036	normal	N1168	not available	not available	DAPI-/CD45-/CD31-/EpCAM+	1	cellenONE	N1168_K22	single cell	1	run 64	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	Data-independent acquisition	diaPASEF	25	400	1000	not available	not available	N1168	1	1	N1168_K22_DIA_ne2_IO_L15_062623_Slot2-44_1_2245.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	submandibular gland
N1168_K23	NT=Homo sapiens;AC=NCBITaxon:9606	NT=submandibular gland;AC=UBERON:0001736	NT=epithelial fate stem cell;AC=CL:0000036	normal	N1168	not available	not available	DAPI-/CD45-/CD31-/EpCAM+	1	cellenONE	N1168_K23	single cell	1	run 65	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	Data-independent acquisition	diaPASEF	25	400	1000	not available	not available	N1168	1	1	N1168_K23_DIA_ne2_IO_L15_062623_Slot2-45_1_2246.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	submandibular gland
N1168_K24	NT=Homo sapiens;AC=NCBITaxon:9606	NT=submandibular gland;AC=UBERON:0001736	NT=epithelial fate stem cell;AC=CL:0000036	normal	N1168	not available	not available	DAPI-/CD45-/CD31-/EpCAM+	1	cellenONE	N1168_K24	single cell	1	run 66	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	Data-independent acquisition	diaPASEF	25	400	1000	not available	not available	N1168	1	1	N1168_K24_DIA_ne2_IO_L15_062623_Slot2-46_1_2247.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	submandibular gland
N1168_L17	NT=Homo sapiens;AC=NCBITaxon:9606	NT=submandibular gland;AC=UBERON:0001736	NT=epithelial fate stem cell;AC=CL:0000036	normal	N1168	not available	not available	DAPI-/CD45-/CD31-/EpCAM+	1	cellenONE	N1168_L17	single cell	1	run 67	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	Data-independent acquisition	diaPASEF	25	400	1000	not available	not available	N1168	1	1	N1168_L17_DIA_ne2_IO_L15_062623_Slot1-113_1_2251.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	submandibular gland
N1168_L18	NT=Homo sapiens;AC=NCBITaxon:9606	NT=submandibular gland;AC=UBERON:0001736	NT=epithelial fate stem cell;AC=CL:0000036	normal	N1168	not available	not available	DAPI-/CD45-/CD31-/EpCAM+	1	cellenONE	N1168_L18	single cell	1	run 68	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	Data-independent acquisition	diaPASEF	25	400	1000	not available	not available	N1168	1	1	N1168_L18_DIA_ne2_IO_L15_062623_Slot1-114_1_2252.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	submandibular gland
N1168_L19	NT=Homo sapiens;AC=NCBITaxon:9606	NT=submandibular gland;AC=UBERON:0001736	NT=epithelial fate stem cell;AC=CL:0000036	normal	N1168	not available	not available	DAPI-/CD45-/CD31-/EpCAM+	1	cellenONE	N1168_L19	single cell	1	run 69	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	Data-independent acquisition	diaPASEF	25	400	1000	not available	not available	N1168	1	1	N1168_L19_DIA_ne2_IO_L15_062623_Slot1-115_1_2253.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	submandibular gland
N1168_L20	NT=Homo sapiens;AC=NCBITaxon:9606	NT=submandibular gland;AC=UBERON:0001736	NT=epithelial fate stem cell;AC=CL:0000036	normal	N1168	not available	not available	DAPI-/CD45-/CD31-/EpCAM+	1	cellenONE	N1168_L20	single cell	1	run 70	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	Data-independent acquisition	diaPASEF	25	400	1000	not available	not available	N1168	1	1	N1168_L20_DIA_ne2_IO_L15_062623_Slot1-116_1_2254.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	submandibular gland
N1168_L22	NT=Homo sapiens;AC=NCBITaxon:9606	NT=submandibular gland;AC=UBERON:0001736	NT=epithelial fate stem cell;AC=CL:0000036	normal	N1168	not available	not available	DAPI-/CD45-/CD31-/EpCAM+	1	cellenONE	N1168_L22	single cell	1	run 71	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	Data-independent acquisition	diaPASEF	25	400	1000	not available	not available	N1168	1	1	N1168_L22_DIA_ne2_IO_L15_062623_Slot1-118_1_2256.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	submandibular gland
S2_PG_H1	NT=Homo sapiens;AC=NCBITaxon:9606	NT=parotid gland;AC=UBERON:0001831	NT=epithelial fate stem cell;AC=CL:0000036	normal	not available	not available	not available	DAPI-/CD45-/CD31-/EpCAM+	1	cellenONE	S2_PG_H1	single cell	2	run 72	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	Data-independent acquisition	diaPASEF	25	400	1000	not available	not available	S2_PG	1	1	Sg_S2_PG_H1_DIA_ne2_IO_L15_100124_Slot1-193_1_5282.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	parotid gland
S2_PG_H2	NT=Homo sapiens;AC=NCBITaxon:9606	NT=parotid gland;AC=UBERON:0001831	NT=epithelial fate stem cell;AC=CL:0000036	normal	not available	not available	not available	DAPI-/CD45-/CD31-/EpCAM+	1	cellenONE	S2_PG_H2	single cell	2	run 73	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	Data-independent acquisition	diaPASEF	25	400	1000	not available	not available	S2_PG	1	1	Sg_S2_PG_H2_DIA_ne2_IO_L15_100124_Slot1-194_1_5298.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	parotid gland
S2_PG_H3	NT=Homo sapiens;AC=NCBITaxon:9606	NT=parotid gland;AC=UBERON:0001831	NT=epithelial fate stem cell;AC=CL:0000036	normal	not available	not available	not available	DAPI-/CD45-/CD31-/EpCAM+	1	cellenONE	S2_PG_H3	single cell	2	run 74	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	Data-independent acquisition	diaPASEF	25	400	1000	not available	not available	S2_PG	1	1	Sg_S2_PG_H3_DIA_ne2_IO_L15_100124_Slot1-195_1_5310.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	parotid gland
S2_PG_H4	NT=Homo sapiens;AC=NCBITaxon:9606	NT=parotid gland;AC=UBERON:0001831	NT=epithelial fate stem cell;AC=CL:0000036	normal	not available	not available	not available	DAPI-/CD45-/CD31-/EpCAM+	1	cellenONE	S2_PG_H4	single cell	2	run 75	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	Data-independent acquisition	diaPASEF	25	400	1000	not available	not available	S2_PG	1	1	Sg_S2_PG_H4_DIA_ne2_IO_L15_100124_Slot1-196_1_5323.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	parotid gland
S2_PG_H5	NT=Homo sapiens;AC=NCBITaxon:9606	NT=parotid gland;AC=UBERON:0001831	NT=epithelial fate stem cell;AC=CL:0000036	normal	not available	not available	not available	DAPI-/CD45-/CD31-/EpCAM+	1	cellenONE	S2_PG_H5	single cell	2	run 76	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	Data-independent acquisition	diaPASEF	25	400	1000	not available	not available	S2_PG	1	1	Sg_S2_PG_H5_DIA_ne2_IO_L15_100124_Slot1-197_1_5335.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	parotid gland
