source name	characteristics[organism]	characteristics[organism part]	characteristics[developmental stage]	characteristics[cell type]	characteristics[disease]	characteristics[sex]	characteristics[strain or breed]	characteristics[material type]	characteristics[sample type]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[reduction reagent]	comment[alkylation reagent]	comment[ms min mz]	comment[ms max mz]	comment[carrier channel]	comment[reference channel]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[cell type]
HeLa_500pg_standard	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=adult;AC=EFO:0001272	NT=HeLa cell;AC=CLO:0003684	NT=cervical adenocarcinoma;AC=MONDO:0005153	female	not applicable	cell line	NT=standard;AC=PRIDE:0000908	not applicable	not applicable	not applicable	1	run 25	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-dependent acquisition	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	20 ppm	NT=time-of-flight;AC=MS:1000084	not available	not available	300m/z	1500m/z	not applicable	not applicable	1	2	2022_10_25_BS07_500pg_HeLa_EcoddaPASEF_22kV_TR2.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	NT=HeLa cell;AC=CLO:0003684
HeLa_500pg_standard	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=adult;AC=EFO:0001272	NT=HeLa cell;AC=CLO:0003684	NT=cervical adenocarcinoma;AC=MONDO:0005153	female	not applicable	cell line	NT=standard;AC=PRIDE:0000908	not applicable	not applicable	not applicable	1	run 26	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-dependent acquisition	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	20 ppm	NT=time-of-flight;AC=MS:1000084	not available	not available	300m/z	1500m/z	not applicable	not applicable	1	3	2022_10_26_BS02_500pg_HeLa_EcoddaPASEF_22kV_TR3.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	NT=HeLa cell;AC=CLO:0003684
HeLa_500pg_standard	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=adult;AC=EFO:0001272	NT=HeLa cell;AC=CLO:0003684	NT=cervical adenocarcinoma;AC=MONDO:0005153	female	not applicable	cell line	NT=standard;AC=PRIDE:0000908	not applicable	not applicable	not applicable	1	run 27	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-dependent acquisition	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	20 ppm	NT=time-of-flight;AC=MS:1000084	not available	not available	300m/z	1500m/z	not applicable	not applicable	1	4	2022_11_16_BS03_HeLa_500pg_EcoddaPASEF_22kV_TR4.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	NT=HeLa cell;AC=CLO:0003684
HeLa_200pg_standard	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=adult;AC=EFO:0001272	NT=HeLa cell;AC=CLO:0003684	NT=cervical adenocarcinoma;AC=MONDO:0005153	female	not applicable	cell line	NT=standard;AC=PRIDE:0000908	not applicable	not applicable	not applicable	1	run 28	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-dependent acquisition	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	20 ppm	NT=time-of-flight;AC=MS:1000084	not available	not available	300m/z	1500m/z	not applicable	not applicable	1	1	2022_12_3_BS07_200pgHeLa_control_TR1.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	NT=HeLa cell;AC=CLO:0003684
HeLa_200pg_standard	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=adult;AC=EFO:0001272	NT=HeLa cell;AC=CLO:0003684	NT=cervical adenocarcinoma;AC=MONDO:0005153	female	not applicable	cell line	NT=standard;AC=PRIDE:0000908	not applicable	not applicable	not applicable	1	run 29	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-dependent acquisition	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	20 ppm	NT=time-of-flight;AC=MS:1000084	not available	not available	300m/z	1500m/z	not applicable	not applicable	1	2	2022_12_5_BS01_200pgHeLa_control_TR2.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	NT=HeLa cell;AC=CLO:0003684
HeLa_200pg_standard	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=adult;AC=EFO:0001272	NT=HeLa cell;AC=CLO:0003684	NT=cervical adenocarcinoma;AC=MONDO:0005153	female	not applicable	cell line	NT=standard;AC=PRIDE:0000908	not applicable	not applicable	not applicable	1	run 30	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-dependent acquisition	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	20 ppm	NT=time-of-flight;AC=MS:1000084	not available	not available	300m/z	1500m/z	not applicable	not applicable	1	3	2022_12_5_BS02_200pgHeLa_control_TR3.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	NT=HeLa cell;AC=CLO:0003684
HeLa_200pg_standard	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=adult;AC=EFO:0001272	NT=HeLa cell;AC=CLO:0003684	NT=cervical adenocarcinoma;AC=MONDO:0005153	female	not applicable	cell line	NT=standard;AC=PRIDE:0000908	not applicable	not applicable	not applicable	1	run 31	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-dependent acquisition	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	20 ppm	NT=time-of-flight;AC=MS:1000084	not available	not available	300m/z	1500m/z	not applicable	not applicable	1	4	2022_12_5_BS03_200pgHeLa_control_TR4.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	NT=HeLa cell;AC=CLO:0003684
HeLa_200pg_standard	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=adult;AC=EFO:0001272	NT=HeLa cell;AC=CLO:0003684	NT=cervical adenocarcinoma;AC=MONDO:0005153	female	not applicable	cell line	NT=standard;AC=PRIDE:0000908	not applicable	not applicable	not applicable	1	run 32	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-dependent acquisition	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	20 ppm	NT=time-of-flight;AC=MS:1000084	not available	not available	300m/z	1500m/z	not applicable	not applicable	1	1	2022_12_3_BS05_200pgHeLa_EcoMS_TR1.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	NT=HeLa cell;AC=CLO:0003684
HeLa_200pg_standard	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=adult;AC=EFO:0001272	NT=HeLa cell;AC=CLO:0003684	NT=cervical adenocarcinoma;AC=MONDO:0005153	female	not applicable	cell line	NT=standard;AC=PRIDE:0000908	not applicable	not applicable	not applicable	1	run 33	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-dependent acquisition	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	20 ppm	NT=time-of-flight;AC=MS:1000084	not available	not available	300m/z	1500m/z	not applicable	not applicable	1	2	2022_12_7_BS04_200pgHeLa_EcoMS_TR2.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	NT=HeLa cell;AC=CLO:0003684
HeLa_200pg_standard	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=adult;AC=EFO:0001272	NT=HeLa cell;AC=CLO:0003684	NT=cervical adenocarcinoma;AC=MONDO:0005153	female	not applicable	cell line	NT=standard;AC=PRIDE:0000908	not applicable	not applicable	not applicable	1	run 34	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-dependent acquisition	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	20 ppm	NT=time-of-flight;AC=MS:1000084	not available	not available	300m/z	1500m/z	not applicable	not applicable	1	3	2022_12_7_BS05_200pgHeLa_EcoMS_TR3.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	NT=HeLa cell;AC=CLO:0003684
HeLa_200pg_standard	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=adult;AC=EFO:0001272	NT=HeLa cell;AC=CLO:0003684	NT=cervical adenocarcinoma;AC=MONDO:0005153	female	not applicable	cell line	NT=standard;AC=PRIDE:0000908	not applicable	not applicable	not applicable	1	run 35	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-dependent acquisition	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	20 ppm	NT=time-of-flight;AC=MS:1000084	not available	not available	300m/z	1500m/z	not applicable	not applicable	1	4	2022_12_7_BS06_200pgHeLa_EcoMS_TR4.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	NT=HeLa cell;AC=CLO:0003684
