source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[culture medium]	characteristics[treatment]	characteristics[sampling time]	characteristics[cell viability]	characteristics[sample type]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[pooled sample]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[carrier channel]	comment[reference channel]	comment[sample preparation batch]	comment[acquisition date]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[treatment]	factor value[sampling time]
A549_TDX_48h_R7_TMT128C	NT=Homo sapiens;AC=NCBITaxon:9606	NT=lung;AC=UBERON:0002048	NT=epithelial cell of lung;AC=CL:0000082	NT=lung adenocarcinoma;AC=MONDO:0005061	NT=A549;AC=EFO:0001086	CVCL_0023	A-549	58Y	male	NT=European ancestry;AC=HANCESTRO:0005	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	NT=Dimethyl Sulfoxide;AC=NCIT:C437	48 hour	live	NT=single cell;AC=PRIDE:0000897	FACS	A549_TDX_48h_R7_TMT128C	1	not pooled	53	run 1784	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT128C;AC=PRIDE:0000521	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;PP=Any N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-dependent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	35% NCE	10 ppm	0.05 Da	TMT131	not applicable	TDX_48h_R7	2020-12-04	1	1	20201204_L1_nUT2_ES802A_25cm_SCP_TDX_48h_Rxn7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=Dimethyl Sulfoxide;AC=NCIT:C437	48 hour
A549_TDX_48h_R7_TMT129N	NT=Homo sapiens;AC=NCBITaxon:9606	NT=lung;AC=UBERON:0002048	NT=epithelial cell of lung;AC=CL:0000082	NT=lung adenocarcinoma;AC=MONDO:0005061	NT=A549;AC=EFO:0001086	CVCL_0023	A-549	58Y	male	NT=European ancestry;AC=HANCESTRO:0005	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	NT=Raltitrexed;AC=NCIT:C1804	48 hour	live	NT=single cell;AC=PRIDE:0000897	FACS	A549_TDX_48h_R7_TMT129N	1	not pooled	54	run 1785	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT129N;AC=PRIDE:0000525	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;PP=Any N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-dependent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	35% NCE	10 ppm	0.05 Da	TMT131	not applicable	TDX_48h_R7	2020-12-04	1	1	20201204_L1_nUT2_ES802A_25cm_SCP_TDX_48h_Rxn7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=Raltitrexed;AC=NCIT:C1804	48 hour
A549_TDX_48h_R7_TMT129C	NT=Homo sapiens;AC=NCBITaxon:9606	NT=lung;AC=UBERON:0002048	NT=epithelial cell of lung;AC=CL:0000082	NT=lung adenocarcinoma;AC=MONDO:0005061	NT=A549;AC=EFO:0001086	CVCL_0023	A-549	58Y	male	NT=European ancestry;AC=HANCESTRO:0005	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	NT=Dimethyl Sulfoxide;AC=NCIT:C437	48 hour	live	NT=single cell;AC=PRIDE:0000897	FACS	A549_TDX_48h_R7_TMT129C	1	not pooled	55	run 1786	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT129C;AC=PRIDE:0000524	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;PP=Any N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-dependent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	35% NCE	10 ppm	0.05 Da	TMT131	not applicable	TDX_48h_R7	2020-12-04	1	1	20201204_L1_nUT2_ES802A_25cm_SCP_TDX_48h_Rxn7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=Dimethyl Sulfoxide;AC=NCIT:C437	48 hour
A549_TDX_48h_R7_TMT130C	NT=Homo sapiens;AC=NCBITaxon:9606	NT=lung;AC=UBERON:0002048	NT=epithelial cell of lung;AC=CL:0000082	NT=lung adenocarcinoma;AC=MONDO:0005061	NT=A549;AC=EFO:0001086	CVCL_0023	A-549	58Y	male	NT=European ancestry;AC=HANCESTRO:0005	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	NT=Raltitrexed;AC=NCIT:C1804	48 hour	live	NT=single cell;AC=PRIDE:0000897	FACS	A549_TDX_48h_R7_TMT130C	1	not pooled	56	run 1787	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT130C;AC=PRIDE:0000527	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;PP=Any N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-dependent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	35% NCE	10 ppm	0.05 Da	TMT131	not applicable	TDX_48h_R7	2020-12-04	1	1	20201204_L1_nUT2_ES802A_25cm_SCP_TDX_48h_Rxn7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=Raltitrexed;AC=NCIT:C1804	48 hour
A549_TDX_48h_R7_CP_131	NT=Homo sapiens;AC=NCBITaxon:9606	NT=lung;AC=UBERON:0002048	NT=epithelial cell of lung;AC=CL:0000082	NT=lung adenocarcinoma;AC=MONDO:0005061	NT=A549;AC=EFO:0001086	CVCL_0023	A-549	58Y	male	NT=European ancestry;AC=HANCESTRO:0005	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	not applicable	48 hour	live	NT=carrier;AC=PRIDE:0000901	FACS	carrier	200	pooled	pooled	run 1788	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT131;AC=PRIDE:0000529	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;PP=Any N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-dependent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	35% NCE	10 ppm	0.05 Da	TMT131	not applicable	TDX_48h_R7	2020-12-04	1	1	20201204_L1_nUT2_ES802A_25cm_SCP_TDX_48h_Rxn7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	not applicable	48 hour
A549_TDX_48h_R8_TMT126	NT=Homo sapiens;AC=NCBITaxon:9606	NT=lung;AC=UBERON:0002048	NT=epithelial cell of lung;AC=CL:0000082	NT=lung adenocarcinoma;AC=MONDO:0005061	NT=A549;AC=EFO:0001086	CVCL_0023	A-549	58Y	male	NT=European ancestry;AC=HANCESTRO:0005	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	NT=Raltitrexed;AC=NCIT:C1804	48 hour	live	NT=single cell;AC=PRIDE:0000897	FACS	A549_TDX_48h_R8_TMT126	1	not pooled	57	run 1789	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT126;AC=PRIDE:0000516	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;PP=Any N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-dependent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	35% NCE	10 ppm	0.05 Da	TMT131	not applicable	TDX_48h_R8	2020-12-04	1	1	20201204_L1_nUT2_ES802A_25cm_SCP_TDX_48h_Rxn8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=Raltitrexed;AC=NCIT:C1804	48 hour
A549_TDX_48h_R8_TMT127N	NT=Homo sapiens;AC=NCBITaxon:9606	NT=lung;AC=UBERON:0002048	NT=epithelial cell of lung;AC=CL:0000082	NT=lung adenocarcinoma;AC=MONDO:0005061	NT=A549;AC=EFO:0001086	CVCL_0023	A-549	58Y	male	NT=European ancestry;AC=HANCESTRO:0005	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	NT=Dimethyl Sulfoxide;AC=NCIT:C437	48 hour	live	NT=single cell;AC=PRIDE:0000897	FACS	A549_TDX_48h_R8_TMT127N	1	not pooled	58	run 1790	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT127N;AC=PRIDE:0000519	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;PP=Any N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-dependent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	35% NCE	10 ppm	0.05 Da	TMT131	not applicable	TDX_48h_R8	2020-12-04	1	1	20201204_L1_nUT2_ES802A_25cm_SCP_TDX_48h_Rxn8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=Dimethyl Sulfoxide;AC=NCIT:C437	48 hour
A549_TDX_48h_R8_TMT127C	NT=Homo sapiens;AC=NCBITaxon:9606	NT=lung;AC=UBERON:0002048	NT=epithelial cell of lung;AC=CL:0000082	NT=lung adenocarcinoma;AC=MONDO:0005061	NT=A549;AC=EFO:0001086	CVCL_0023	A-549	58Y	male	NT=European ancestry;AC=HANCESTRO:0005	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	NT=Raltitrexed;AC=NCIT:C1804	48 hour	live	NT=single cell;AC=PRIDE:0000897	FACS	A549_TDX_48h_R8_TMT127C	1	not pooled	59	run 1791	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT127C;AC=PRIDE:0000518	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;PP=Any N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-dependent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	35% NCE	10 ppm	0.05 Da	TMT131	not applicable	TDX_48h_R8	2020-12-04	1	1	20201204_L1_nUT2_ES802A_25cm_SCP_TDX_48h_Rxn8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=Raltitrexed;AC=NCIT:C1804	48 hour
A549_TDX_48h_R8_TMT128N	NT=Homo sapiens;AC=NCBITaxon:9606	NT=lung;AC=UBERON:0002048	NT=epithelial cell of lung;AC=CL:0000082	NT=lung adenocarcinoma;AC=MONDO:0005061	NT=A549;AC=EFO:0001086	CVCL_0023	A-549	58Y	male	NT=European ancestry;AC=HANCESTRO:0005	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	NT=Dimethyl Sulfoxide;AC=NCIT:C437	48 hour	live	NT=single cell;AC=PRIDE:0000897	FACS	A549_TDX_48h_R8_TMT128N	1	not pooled	60	run 1792	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT128N;AC=PRIDE:0000522	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;PP=Any N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-dependent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	35% NCE	10 ppm	0.05 Da	TMT131	not applicable	TDX_48h_R8	2020-12-04	1	1	20201204_L1_nUT2_ES802A_25cm_SCP_TDX_48h_Rxn8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=Dimethyl Sulfoxide;AC=NCIT:C437	48 hour
A549_TDX_48h_R8_TMT128C	NT=Homo sapiens;AC=NCBITaxon:9606	NT=lung;AC=UBERON:0002048	NT=epithelial cell of lung;AC=CL:0000082	NT=lung adenocarcinoma;AC=MONDO:0005061	NT=A549;AC=EFO:0001086	CVCL_0023	A-549	58Y	male	NT=European ancestry;AC=HANCESTRO:0005	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	NT=Raltitrexed;AC=NCIT:C1804	48 hour	live	NT=single cell;AC=PRIDE:0000897	FACS	A549_TDX_48h_R8_TMT128C	1	not pooled	61	run 1793	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT128C;AC=PRIDE:0000521	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;PP=Any N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-dependent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	35% NCE	10 ppm	0.05 Da	TMT131	not applicable	TDX_48h_R8	2020-12-04	1	1	20201204_L1_nUT2_ES802A_25cm_SCP_TDX_48h_Rxn8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=Raltitrexed;AC=NCIT:C1804	48 hour
A549_TDX_48h_R8_TMT129N	NT=Homo sapiens;AC=NCBITaxon:9606	NT=lung;AC=UBERON:0002048	NT=epithelial cell of lung;AC=CL:0000082	NT=lung adenocarcinoma;AC=MONDO:0005061	NT=A549;AC=EFO:0001086	CVCL_0023	A-549	58Y	male	NT=European ancestry;AC=HANCESTRO:0005	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	NT=Dimethyl Sulfoxide;AC=NCIT:C437	48 hour	live	NT=single cell;AC=PRIDE:0000897	FACS	A549_TDX_48h_R8_TMT129N	1	not pooled	62	run 1794	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT129N;AC=PRIDE:0000525	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;PP=Any N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-dependent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	35% NCE	10 ppm	0.05 Da	TMT131	not applicable	TDX_48h_R8	2020-12-04	1	1	20201204_L1_nUT2_ES802A_25cm_SCP_TDX_48h_Rxn8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=Dimethyl Sulfoxide;AC=NCIT:C437	48 hour
A549_TDX_48h_R8_TMT129C	NT=Homo sapiens;AC=NCBITaxon:9606	NT=lung;AC=UBERON:0002048	NT=epithelial cell of lung;AC=CL:0000082	NT=lung adenocarcinoma;AC=MONDO:0005061	NT=A549;AC=EFO:0001086	CVCL_0023	A-549	58Y	male	NT=European ancestry;AC=HANCESTRO:0005	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	NT=Raltitrexed;AC=NCIT:C1804	48 hour	live	NT=single cell;AC=PRIDE:0000897	FACS	A549_TDX_48h_R8_TMT129C	1	not pooled	63	run 1795	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT129C;AC=PRIDE:0000524	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;PP=Any N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-dependent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	35% NCE	10 ppm	0.05 Da	TMT131	not applicable	TDX_48h_R8	2020-12-04	1	1	20201204_L1_nUT2_ES802A_25cm_SCP_TDX_48h_Rxn8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=Raltitrexed;AC=NCIT:C1804	48 hour
A549_TDX_48h_R8_TMT130C	NT=Homo sapiens;AC=NCBITaxon:9606	NT=lung;AC=UBERON:0002048	NT=epithelial cell of lung;AC=CL:0000082	NT=lung adenocarcinoma;AC=MONDO:0005061	NT=A549;AC=EFO:0001086	CVCL_0023	A-549	58Y	male	NT=European ancestry;AC=HANCESTRO:0005	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	NT=Dimethyl Sulfoxide;AC=NCIT:C437	48 hour	live	NT=single cell;AC=PRIDE:0000897	FACS	A549_TDX_48h_R8_TMT130C	1	not pooled	64	run 1796	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT130C;AC=PRIDE:0000527	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;PP=Any N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-dependent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	35% NCE	10 ppm	0.05 Da	TMT131	not applicable	TDX_48h_R8	2020-12-04	1	1	20201204_L1_nUT2_ES802A_25cm_SCP_TDX_48h_Rxn8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=Dimethyl Sulfoxide;AC=NCIT:C437	48 hour
A549_TDX_48h_R8_CP_131	NT=Homo sapiens;AC=NCBITaxon:9606	NT=lung;AC=UBERON:0002048	NT=epithelial cell of lung;AC=CL:0000082	NT=lung adenocarcinoma;AC=MONDO:0005061	NT=A549;AC=EFO:0001086	CVCL_0023	A-549	58Y	male	NT=European ancestry;AC=HANCESTRO:0005	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	not applicable	48 hour	live	NT=carrier;AC=PRIDE:0000901	FACS	carrier	200	pooled	pooled	run 1797	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT131;AC=PRIDE:0000529	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;PP=Any N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-dependent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	35% NCE	10 ppm	0.05 Da	TMT131	not applicable	TDX_48h_R8	2020-12-04	1	1	20201204_L1_nUT2_ES802A_25cm_SCP_TDX_48h_Rxn8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	not applicable	48 hour
A549_TDX_48h_R9_TMT126	NT=Homo sapiens;AC=NCBITaxon:9606	NT=lung;AC=UBERON:0002048	NT=epithelial cell of lung;AC=CL:0000082	NT=lung adenocarcinoma;AC=MONDO:0005061	NT=A549;AC=EFO:0001086	CVCL_0023	A-549	58Y	male	NT=European ancestry;AC=HANCESTRO:0005	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	NT=Dimethyl Sulfoxide;AC=NCIT:C437	48 hour	live	NT=single cell;AC=PRIDE:0000897	FACS	A549_TDX_48h_R9_TMT126	1	not pooled	65	run 1798	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT126;AC=PRIDE:0000516	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;PP=Any N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-dependent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	35% NCE	10 ppm	0.05 Da	TMT131	not applicable	TDX_48h_R9	2020-12-04	1	1	20201204_L1_nUT2_ES802A_25cm_SCP_TDX_48h_Rxn9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=Dimethyl Sulfoxide;AC=NCIT:C437	48 hour
A549_TDX_48h_R9_TMT127N	NT=Homo sapiens;AC=NCBITaxon:9606	NT=lung;AC=UBERON:0002048	NT=epithelial cell of lung;AC=CL:0000082	NT=lung adenocarcinoma;AC=MONDO:0005061	NT=A549;AC=EFO:0001086	CVCL_0023	A-549	58Y	male	NT=European ancestry;AC=HANCESTRO:0005	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	NT=Raltitrexed;AC=NCIT:C1804	48 hour	live	NT=single cell;AC=PRIDE:0000897	FACS	A549_TDX_48h_R9_TMT127N	1	not pooled	66	run 1799	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT127N;AC=PRIDE:0000519	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;PP=Any N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-dependent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	35% NCE	10 ppm	0.05 Da	TMT131	not applicable	TDX_48h_R9	2020-12-04	1	1	20201204_L1_nUT2_ES802A_25cm_SCP_TDX_48h_Rxn9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=Raltitrexed;AC=NCIT:C1804	48 hour
A549_TDX_48h_R9_TMT127C	NT=Homo sapiens;AC=NCBITaxon:9606	NT=lung;AC=UBERON:0002048	NT=epithelial cell of lung;AC=CL:0000082	NT=lung adenocarcinoma;AC=MONDO:0005061	NT=A549;AC=EFO:0001086	CVCL_0023	A-549	58Y	male	NT=European ancestry;AC=HANCESTRO:0005	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	NT=Dimethyl Sulfoxide;AC=NCIT:C437	48 hour	live	NT=single cell;AC=PRIDE:0000897	FACS	A549_TDX_48h_R9_TMT127C	1	not pooled	67	run 1800	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT127C;AC=PRIDE:0000518	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;PP=Any N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-dependent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	35% NCE	10 ppm	0.05 Da	TMT131	not applicable	TDX_48h_R9	2020-12-04	1	1	20201204_L1_nUT2_ES802A_25cm_SCP_TDX_48h_Rxn9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=Dimethyl Sulfoxide;AC=NCIT:C437	48 hour
A549_TDX_48h_R9_TMT128N	NT=Homo sapiens;AC=NCBITaxon:9606	NT=lung;AC=UBERON:0002048	NT=epithelial cell of lung;AC=CL:0000082	NT=lung adenocarcinoma;AC=MONDO:0005061	NT=A549;AC=EFO:0001086	CVCL_0023	A-549	58Y	male	NT=European ancestry;AC=HANCESTRO:0005	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	NT=Raltitrexed;AC=NCIT:C1804	48 hour	live	NT=single cell;AC=PRIDE:0000897	FACS	A549_TDX_48h_R9_TMT128N	1	not pooled	68	run 1801	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=TMT128N;AC=PRIDE:0000522	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;PP=Any N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-dependent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	35% NCE	10 ppm	0.05 Da	TMT131	not applicable	TDX_48h_R9	2020-12-04	1	1	20201204_L1_nUT2_ES802A_25cm_SCP_TDX_48h_Rxn9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=Raltitrexed;AC=NCIT:C1804	48 hour
