source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[age]	characteristics[sex]	characteristics[culture medium]	characteristics[phenotype]	characteristics[sample type]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[proteomics data acquisition method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[cell line]	factor value[phenotype]
20230406_PNAC1_single_cells_TGFb_D7_7	NT=Homo sapiens;AC=NCBITaxon:9606	NT=pancreas;AC=UBERON:0001264	NT=epithelial cell;AC=CL:0000066	NT=pancreatic ductal adenocarcinoma;AC=MONDO:0005184	NT=PANC-1;AC=CLO:0008381	CVCL_0480	PANC-1	56Y	male	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	epithelial-mesenchymal transition reversal (day 7, TGF-beta1 withdrawn after day 3)	NT=single cell;AC=PRIDE:0000897	manual picking	20230406_PNAC1_single_cells_TGFb_D7_7	1	7	run 48	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not applicable	Data-independent acquisition	1	1	20230406_PNAC1_single_cells_TGFb_D7_7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	NT=PANC-1;AC=CLO:0008381	epithelial-mesenchymal transition reversal (day 7, TGF-beta1 withdrawn after day 3)
20230406_PNAC1_single_cells_TGFb_D7_8	NT=Homo sapiens;AC=NCBITaxon:9606	NT=pancreas;AC=UBERON:0001264	NT=epithelial cell;AC=CL:0000066	NT=pancreatic ductal adenocarcinoma;AC=MONDO:0005184	NT=PANC-1;AC=CLO:0008381	CVCL_0480	PANC-1	56Y	male	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	epithelial-mesenchymal transition reversal (day 7, TGF-beta1 withdrawn after day 3)	NT=single cell;AC=PRIDE:0000897	manual picking	20230406_PNAC1_single_cells_TGFb_D7_8	1	8	run 49	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not applicable	Data-independent acquisition	1	1	20230406_PNAC1_single_cells_TGFb_D7_8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	NT=PANC-1;AC=CLO:0008381	epithelial-mesenchymal transition reversal (day 7, TGF-beta1 withdrawn after day 3)
20230406_PNAC1_single_cells_TGFb_D7_9	NT=Homo sapiens;AC=NCBITaxon:9606	NT=pancreas;AC=UBERON:0001264	NT=epithelial cell;AC=CL:0000066	NT=pancreatic ductal adenocarcinoma;AC=MONDO:0005184	NT=PANC-1;AC=CLO:0008381	CVCL_0480	PANC-1	56Y	male	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	epithelial-mesenchymal transition reversal (day 7, TGF-beta1 withdrawn after day 3)	NT=single cell;AC=PRIDE:0000897	manual picking	20230406_PNAC1_single_cells_TGFb_D7_9	1	9	run 50	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not applicable	Data-independent acquisition	1	1	20230406_PNAC1_single_cells_TGFb_D7_9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	NT=PANC-1;AC=CLO:0008381	epithelial-mesenchymal transition reversal (day 7, TGF-beta1 withdrawn after day 3)
20230630_PNAC1_ConD1_1	NT=Homo sapiens;AC=NCBITaxon:9606	NT=pancreas;AC=UBERON:0001264	NT=epithelial cell;AC=CL:0000066	NT=pancreatic ductal adenocarcinoma;AC=MONDO:0005184	NT=PANC-1;AC=CLO:0008381	CVCL_0480	PANC-1	56Y	male	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	untreated epithelial control	not applicable	not applicable	not applicable	not applicable	1	run 51	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	Data-dependent acquisition	1	1	20230630_PNAC1_ConD1_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	NT=PANC-1;AC=CLO:0008381	untreated epithelial control
20230630_PNAC1_ConD1_2	NT=Homo sapiens;AC=NCBITaxon:9606	NT=pancreas;AC=UBERON:0001264	NT=epithelial cell;AC=CL:0000066	NT=pancreatic ductal adenocarcinoma;AC=MONDO:0005184	NT=PANC-1;AC=CLO:0008381	CVCL_0480	PANC-1	56Y	male	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	untreated epithelial control	not applicable	not applicable	not applicable	not applicable	2	run 52	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	Data-dependent acquisition	1	1	20230630_PNAC1_ConD1_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	NT=PANC-1;AC=CLO:0008381	untreated epithelial control
20230630_PNAC1_ConD1_3	NT=Homo sapiens;AC=NCBITaxon:9606	NT=pancreas;AC=UBERON:0001264	NT=epithelial cell;AC=CL:0000066	NT=pancreatic ductal adenocarcinoma;AC=MONDO:0005184	NT=PANC-1;AC=CLO:0008381	CVCL_0480	PANC-1	56Y	male	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	untreated epithelial control	not applicable	not applicable	not applicable	not applicable	3	run 53	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	Data-dependent acquisition	1	1	20230630_PNAC1_ConD1_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	NT=PANC-1;AC=CLO:0008381	untreated epithelial control
20230630_PNAC1_ConD1_4	NT=Homo sapiens;AC=NCBITaxon:9606	NT=pancreas;AC=UBERON:0001264	NT=epithelial cell;AC=CL:0000066	NT=pancreatic ductal adenocarcinoma;AC=MONDO:0005184	NT=PANC-1;AC=CLO:0008381	CVCL_0480	PANC-1	56Y	male	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	untreated epithelial control	not applicable	not applicable	not applicable	not applicable	4	run 54	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	Data-dependent acquisition	1	1	20230630_PNAC1_ConD1_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	NT=PANC-1;AC=CLO:0008381	untreated epithelial control
20230630_PNAC1_ConD1_5	NT=Homo sapiens;AC=NCBITaxon:9606	NT=pancreas;AC=UBERON:0001264	NT=epithelial cell;AC=CL:0000066	NT=pancreatic ductal adenocarcinoma;AC=MONDO:0005184	NT=PANC-1;AC=CLO:0008381	CVCL_0480	PANC-1	56Y	male	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	untreated epithelial control	not applicable	not applicable	not applicable	not applicable	5	run 55	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	Data-dependent acquisition	1	1	20230630_PNAC1_ConD1_5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	NT=PANC-1;AC=CLO:0008381	untreated epithelial control
20230630_PNAC1_TGFB_D3_1	NT=Homo sapiens;AC=NCBITaxon:9606	NT=pancreas;AC=UBERON:0001264	NT=epithelial cell;AC=CL:0000066	NT=pancreatic ductal adenocarcinoma;AC=MONDO:0005184	NT=PANC-1;AC=CLO:0008381	CVCL_0480	PANC-1	56Y	male	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	TGF-beta1-induced epithelial-mesenchymal transition (day 3)	not applicable	not applicable	not applicable	not applicable	1	run 56	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	Data-dependent acquisition	1	1	20230630_PNAC1_TGFB_D3_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	NT=PANC-1;AC=CLO:0008381	TGF-beta1-induced epithelial-mesenchymal transition (day 3)
20230630_PNAC1_TGFB_D3_2	NT=Homo sapiens;AC=NCBITaxon:9606	NT=pancreas;AC=UBERON:0001264	NT=epithelial cell;AC=CL:0000066	NT=pancreatic ductal adenocarcinoma;AC=MONDO:0005184	NT=PANC-1;AC=CLO:0008381	CVCL_0480	PANC-1	56Y	male	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	TGF-beta1-induced epithelial-mesenchymal transition (day 3)	not applicable	not applicable	not applicable	not applicable	2	run 57	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	Data-dependent acquisition	1	1	20230630_PNAC1_TGFB_D3_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	NT=PANC-1;AC=CLO:0008381	TGF-beta1-induced epithelial-mesenchymal transition (day 3)
20230630_PNAC1_TGFB_D3_3	NT=Homo sapiens;AC=NCBITaxon:9606	NT=pancreas;AC=UBERON:0001264	NT=epithelial cell;AC=CL:0000066	NT=pancreatic ductal adenocarcinoma;AC=MONDO:0005184	NT=PANC-1;AC=CLO:0008381	CVCL_0480	PANC-1	56Y	male	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	TGF-beta1-induced epithelial-mesenchymal transition (day 3)	not applicable	not applicable	not applicable	not applicable	3	run 58	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	Data-dependent acquisition	1	1	20230630_PNAC1_TGFB_D3_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	NT=PANC-1;AC=CLO:0008381	TGF-beta1-induced epithelial-mesenchymal transition (day 3)
20230630_PNAC1_TGFB_D3_4	NT=Homo sapiens;AC=NCBITaxon:9606	NT=pancreas;AC=UBERON:0001264	NT=epithelial cell;AC=CL:0000066	NT=pancreatic ductal adenocarcinoma;AC=MONDO:0005184	NT=PANC-1;AC=CLO:0008381	CVCL_0480	PANC-1	56Y	male	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	TGF-beta1-induced epithelial-mesenchymal transition (day 3)	not applicable	not applicable	not applicable	not applicable	4	run 59	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	Data-dependent acquisition	1	1	20230630_PNAC1_TGFB_D3_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	NT=PANC-1;AC=CLO:0008381	TGF-beta1-induced epithelial-mesenchymal transition (day 3)
20230630_PNAC1_TGFB_D3_5	NT=Homo sapiens;AC=NCBITaxon:9606	NT=pancreas;AC=UBERON:0001264	NT=epithelial cell;AC=CL:0000066	NT=pancreatic ductal adenocarcinoma;AC=MONDO:0005184	NT=PANC-1;AC=CLO:0008381	CVCL_0480	PANC-1	56Y	male	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	TGF-beta1-induced epithelial-mesenchymal transition (day 3)	not applicable	not applicable	not applicable	not applicable	5	run 60	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	Data-dependent acquisition	1	1	20230630_PNAC1_TGFB_D3_5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	NT=PANC-1;AC=CLO:0008381	TGF-beta1-induced epithelial-mesenchymal transition (day 3)
20230630_PNAC1_TGFB_D7_1	NT=Homo sapiens;AC=NCBITaxon:9606	NT=pancreas;AC=UBERON:0001264	NT=epithelial cell;AC=CL:0000066	NT=pancreatic ductal adenocarcinoma;AC=MONDO:0005184	NT=PANC-1;AC=CLO:0008381	CVCL_0480	PANC-1	56Y	male	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	epithelial-mesenchymal transition reversal (day 7, TGF-beta1 withdrawn after day 3)	not applicable	not applicable	not applicable	not applicable	1	run 61	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	Data-dependent acquisition	1	1	20230630_PNAC1_TGFB_D7_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	NT=PANC-1;AC=CLO:0008381	epithelial-mesenchymal transition reversal (day 7, TGF-beta1 withdrawn after day 3)
20230630_PNAC1_TGFB_D7_2	NT=Homo sapiens;AC=NCBITaxon:9606	NT=pancreas;AC=UBERON:0001264	NT=epithelial cell;AC=CL:0000066	NT=pancreatic ductal adenocarcinoma;AC=MONDO:0005184	NT=PANC-1;AC=CLO:0008381	CVCL_0480	PANC-1	56Y	male	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	epithelial-mesenchymal transition reversal (day 7, TGF-beta1 withdrawn after day 3)	not applicable	not applicable	not applicable	not applicable	2	run 62	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	Data-dependent acquisition	1	1	20230630_PNAC1_TGFB_D7_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	NT=PANC-1;AC=CLO:0008381	epithelial-mesenchymal transition reversal (day 7, TGF-beta1 withdrawn after day 3)
20230630_PNAC1_TGFB_D7_3	NT=Homo sapiens;AC=NCBITaxon:9606	NT=pancreas;AC=UBERON:0001264	NT=epithelial cell;AC=CL:0000066	NT=pancreatic ductal adenocarcinoma;AC=MONDO:0005184	NT=PANC-1;AC=CLO:0008381	CVCL_0480	PANC-1	56Y	male	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	epithelial-mesenchymal transition reversal (day 7, TGF-beta1 withdrawn after day 3)	not applicable	not applicable	not applicable	not applicable	3	run 63	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	Data-dependent acquisition	1	1	20230630_PNAC1_TGFB_D7_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	NT=PANC-1;AC=CLO:0008381	epithelial-mesenchymal transition reversal (day 7, TGF-beta1 withdrawn after day 3)
20230630_PNAC1_TGFB_D7_4	NT=Homo sapiens;AC=NCBITaxon:9606	NT=pancreas;AC=UBERON:0001264	NT=epithelial cell;AC=CL:0000066	NT=pancreatic ductal adenocarcinoma;AC=MONDO:0005184	NT=PANC-1;AC=CLO:0008381	CVCL_0480	PANC-1	56Y	male	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	epithelial-mesenchymal transition reversal (day 7, TGF-beta1 withdrawn after day 3)	not applicable	not applicable	not applicable	not applicable	4	run 64	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	Data-dependent acquisition	1	1	20230630_PNAC1_TGFB_D7_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	NT=PANC-1;AC=CLO:0008381	epithelial-mesenchymal transition reversal (day 7, TGF-beta1 withdrawn after day 3)
20230630_PNAC1_TGFB_D7_5	NT=Homo sapiens;AC=NCBITaxon:9606	NT=pancreas;AC=UBERON:0001264	NT=epithelial cell;AC=CL:0000066	NT=pancreatic ductal adenocarcinoma;AC=MONDO:0005184	NT=PANC-1;AC=CLO:0008381	CVCL_0480	PANC-1	56Y	male	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	epithelial-mesenchymal transition reversal (day 7, TGF-beta1 withdrawn after day 3)	not applicable	not applicable	not applicable	not applicable	5	run 65	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	Data-dependent acquisition	1	1	20230630_PNAC1_TGFB_D7_5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	NT=PANC-1;AC=CLO:0008381	epithelial-mesenchymal transition reversal (day 7, TGF-beta1 withdrawn after day 3)
20230822_Bulk_AsPc_1	NT=Homo sapiens;AC=NCBITaxon:9606	NT=ascitic fluid;AC=UBERON:0007795	NT=epithelial cell;AC=CL:0000066	NT=pancreatic ductal adenocarcinoma;AC=MONDO:0005184	NT=AsPC-1;AC=CLO:0001756	CVCL_0152	AsPC-1	62Y	female	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	not applicable	not applicable	not applicable	not applicable	not applicable	1	run 66	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	Data-dependent acquisition	1	1	20230822_Bulk_AsPc_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	NT=AsPC-1;AC=CLO:0001756	not applicable
20230822_Bulk_AsPc_2	NT=Homo sapiens;AC=NCBITaxon:9606	NT=ascitic fluid;AC=UBERON:0007795	NT=epithelial cell;AC=CL:0000066	NT=pancreatic ductal adenocarcinoma;AC=MONDO:0005184	NT=AsPC-1;AC=CLO:0001756	CVCL_0152	AsPC-1	62Y	female	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	not applicable	not applicable	not applicable	not applicable	not applicable	2	run 67	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	Data-dependent acquisition	1	1	20230822_Bulk_AsPc_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	NT=AsPC-1;AC=CLO:0001756	not applicable
20230822_Bulk_AsPc_3	NT=Homo sapiens;AC=NCBITaxon:9606	NT=ascitic fluid;AC=UBERON:0007795	NT=epithelial cell;AC=CL:0000066	NT=pancreatic ductal adenocarcinoma;AC=MONDO:0005184	NT=AsPC-1;AC=CLO:0001756	CVCL_0152	AsPC-1	62Y	female	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	not applicable	not applicable	not applicable	not applicable	not applicable	3	run 68	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	Data-dependent acquisition	1	1	20230822_Bulk_AsPc_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	NT=AsPC-1;AC=CLO:0001756	not applicable
20230822_Bulk_AsPc_4	NT=Homo sapiens;AC=NCBITaxon:9606	NT=ascitic fluid;AC=UBERON:0007795	NT=epithelial cell;AC=CL:0000066	NT=pancreatic ductal adenocarcinoma;AC=MONDO:0005184	NT=AsPC-1;AC=CLO:0001756	CVCL_0152	AsPC-1	62Y	female	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	not applicable	not applicable	not applicable	not applicable	not applicable	4	run 69	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	Data-dependent acquisition	1	1	20230822_Bulk_AsPc_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	NT=AsPC-1;AC=CLO:0001756	not applicable
