source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[genotype]	characteristics[compound]	characteristics[dose]	characteristics[sample type]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[age]	characteristics[sex]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	comment[dia method]	comment[sample preparation batch]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[genotype]	factor value[dose]
NeanCTRL_E7	NT=Homo sapiens;AC=NCBITaxon:9606	NT=brain;AC=UBERON:0000955	NT=neural cell;AC=CL:0002319	normal	NOVA1 ar/ar	not applicable	not applicable	NT=single cell;AC=PRIDE:0000897	not applicable	NeanCTRL_E7	1	not available	not available	7	run 56	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	not available	400	1000	20	not available	NeanCTRL	1	1	20240626_Ast_Neo_Aurora_25um-75umID_FAIMS_CV-50_20mz_DIA_400-1000_50maxIT_800agc_25nce_36m_NeanCTRL_Row_E_E7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	manual curation	NOVA1 ar/ar	not applicable
NeanCTRL_E8	NT=Homo sapiens;AC=NCBITaxon:9606	NT=brain;AC=UBERON:0000955	NT=neural cell;AC=CL:0002319	normal	NOVA1 ar/ar	not applicable	not applicable	NT=single cell;AC=PRIDE:0000897	not applicable	NeanCTRL_E8	1	not available	not available	8	run 57	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	not available	400	1000	20	not available	NeanCTRL	1	1	20240626_Ast_Neo_Aurora_25um-75umID_FAIMS_CV-50_20mz_DIA_400-1000_50maxIT_800agc_25nce_36m_NeanCTRL_Row_E_E8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	manual curation	NOVA1 ar/ar	not applicable
NeanCTRL_E9	NT=Homo sapiens;AC=NCBITaxon:9606	NT=brain;AC=UBERON:0000955	NT=neural cell;AC=CL:0002319	normal	NOVA1 ar/ar	not applicable	not applicable	NT=single cell;AC=PRIDE:0000897	not applicable	NeanCTRL_E9	1	not available	not available	9	run 58	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	not available	400	1000	20	not available	NeanCTRL	1	1	20240626_Ast_Neo_Aurora_25um-75umID_FAIMS_CV-50_20mz_DIA_400-1000_50maxIT_800agc_25nce_36m_NeanCTRL_Row_E_E9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	manual curation	NOVA1 ar/ar	not applicable
NeanCTRL_E10	NT=Homo sapiens;AC=NCBITaxon:9606	NT=brain;AC=UBERON:0000955	NT=neural cell;AC=CL:0002319	normal	NOVA1 ar/ar	not applicable	not applicable	NT=single cell;AC=PRIDE:0000897	not applicable	NeanCTRL_E10	1	not available	not available	10	run 59	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	not available	400	1000	20	not available	NeanCTRL	1	1	20240626_Ast_Neo_Aurora_25um-75umID_FAIMS_CV-50_20mz_DIA_400-1000_50maxIT_800agc_25nce_36m_NeanCTRL_Row_E_E10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	manual curation	NOVA1 ar/ar	not applicable
NeanCTRL_E11	NT=Homo sapiens;AC=NCBITaxon:9606	NT=brain;AC=UBERON:0000955	NT=neural cell;AC=CL:0002319	normal	NOVA1 ar/ar	not applicable	not applicable	NT=single cell;AC=PRIDE:0000897	not applicable	NeanCTRL_E11	1	not available	not available	11	run 60	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	not available	400	1000	20	not available	NeanCTRL	1	1	20240626_Ast_Neo_Aurora_25um-75umID_FAIMS_CV-50_20mz_DIA_400-1000_50maxIT_800agc_25nce_36m_NeanCTRL_Row_E_E11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	manual curation	NOVA1 ar/ar	not applicable
NeanCTRL_E12	NT=Homo sapiens;AC=NCBITaxon:9606	NT=brain;AC=UBERON:0000955	NT=neural cell;AC=CL:0002319	normal	NOVA1 ar/ar	not applicable	not applicable	NT=single cell;AC=PRIDE:0000897	not applicable	NeanCTRL_E12	1	not available	not available	12	run 61	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	not available	400	1000	20	not available	NeanCTRL	1	1	20240626_Ast_Neo_Aurora_25um-75umID_FAIMS_CV-50_20mz_DIA_400-1000_50maxIT_800agc_25nce_36m_NeanCTRL_Row_E_E12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	manual curation	NOVA1 ar/ar	not applicable
NeanCTRL_E13	NT=Homo sapiens;AC=NCBITaxon:9606	NT=brain;AC=UBERON:0000955	NT=neural cell;AC=CL:0002319	normal	NOVA1 ar/ar	not applicable	not applicable	NT=single cell;AC=PRIDE:0000897	not applicable	NeanCTRL_E13	1	not available	not available	13	run 62	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	not available	400	1000	20	not available	NeanCTRL	1	1	20240626_Ast_Neo_Aurora_25um-75umID_FAIMS_CV-50_20mz_DIA_400-1000_50maxIT_800agc_25nce_36m_NeanCTRL_Row_E_E13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	manual curation	NOVA1 ar/ar	not applicable
NeanCTRL_E14	NT=Homo sapiens;AC=NCBITaxon:9606	NT=brain;AC=UBERON:0000955	NT=neural cell;AC=CL:0002319	normal	NOVA1 ar/ar	not applicable	not applicable	NT=single cell;AC=PRIDE:0000897	not applicable	NeanCTRL_E14	1	not available	not available	14	run 63	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	not available	400	1000	20	not available	NeanCTRL	1	1	20240626_Ast_Neo_Aurora_25um-75umID_FAIMS_CV-50_20mz_DIA_400-1000_50maxIT_800agc_25nce_36m_NeanCTRL_Row_E_E14.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	manual curation	NOVA1 ar/ar	not applicable
NeanCTRL_E15	NT=Homo sapiens;AC=NCBITaxon:9606	NT=brain;AC=UBERON:0000955	NT=neural cell;AC=CL:0002319	normal	NOVA1 ar/ar	not applicable	not applicable	NT=single cell;AC=PRIDE:0000897	not applicable	NeanCTRL_E15	1	not available	not available	15	run 64	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	not available	400	1000	20	not available	NeanCTRL	1	1	20240626_Ast_Neo_Aurora_25um-75umID_FAIMS_CV-50_20mz_DIA_400-1000_50maxIT_800agc_25nce_36m_NeanCTRL_Row_E_E15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	manual curation	NOVA1 ar/ar	not applicable
NeanCTRL_E16	NT=Homo sapiens;AC=NCBITaxon:9606	NT=brain;AC=UBERON:0000955	NT=neural cell;AC=CL:0002319	normal	NOVA1 ar/ar	not applicable	not applicable	NT=single cell;AC=PRIDE:0000897	not applicable	NeanCTRL_E16	1	not available	not available	16	run 65	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	not available	400	1000	20	not available	NeanCTRL	1	1	20240626_Ast_Neo_Aurora_25um-75umID_FAIMS_CV-50_20mz_DIA_400-1000_50maxIT_800agc_25nce_36m_NeanCTRL_Row_E_E16.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	manual curation	NOVA1 ar/ar	not applicable
NeanCTRL_E17	NT=Homo sapiens;AC=NCBITaxon:9606	NT=brain;AC=UBERON:0000955	NT=neural cell;AC=CL:0002319	normal	NOVA1 ar/ar	not applicable	not applicable	NT=single cell;AC=PRIDE:0000897	not applicable	NeanCTRL_E17	1	not available	not available	17	run 66	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	not available	400	1000	20	not available	NeanCTRL	1	1	20240626_Ast_Neo_Aurora_25um-75umID_FAIMS_CV-50_20mz_DIA_400-1000_50maxIT_800agc_25nce_36m_NeanCTRL_Row_E_E17.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	manual curation	NOVA1 ar/ar	not applicable
NeanCTRL_E18	NT=Homo sapiens;AC=NCBITaxon:9606	NT=brain;AC=UBERON:0000955	NT=neural cell;AC=CL:0002319	normal	NOVA1 ar/ar	not applicable	not applicable	NT=single cell;AC=PRIDE:0000897	not applicable	NeanCTRL_E18	1	not available	not available	18	run 67	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	not available	400	1000	20	not available	NeanCTRL	1	1	20240626_Ast_Neo_Aurora_25um-75umID_FAIMS_CV-50_20mz_DIA_400-1000_50maxIT_800agc_25nce_36m_NeanCTRL_Row_E_E18.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	manual curation	NOVA1 ar/ar	not applicable
NeanCTRL_E19	NT=Homo sapiens;AC=NCBITaxon:9606	NT=brain;AC=UBERON:0000955	NT=neural cell;AC=CL:0002319	normal	NOVA1 ar/ar	not applicable	not applicable	NT=single cell;AC=PRIDE:0000897	not applicable	NeanCTRL_E19	1	not available	not available	19	run 68	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	not available	400	1000	20	not available	NeanCTRL	1	1	20240626_Ast_Neo_Aurora_25um-75umID_FAIMS_CV-50_20mz_DIA_400-1000_50maxIT_800agc_25nce_36m_NeanCTRL_Row_E_E19.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	manual curation	NOVA1 ar/ar	not applicable
NeanCTRL_E20	NT=Homo sapiens;AC=NCBITaxon:9606	NT=brain;AC=UBERON:0000955	NT=neural cell;AC=CL:0002319	normal	NOVA1 ar/ar	not applicable	not applicable	NT=single cell;AC=PRIDE:0000897	not applicable	NeanCTRL_E20	1	not available	not available	20	run 69	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	not available	400	1000	20	not available	NeanCTRL	1	1	20240626_Ast_Neo_Aurora_25um-75umID_FAIMS_CV-50_20mz_DIA_400-1000_50maxIT_800agc_25nce_36m_NeanCTRL_Row_E_E20.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	manual curation	NOVA1 ar/ar	not applicable
NeanCTRL_E21	NT=Homo sapiens;AC=NCBITaxon:9606	NT=brain;AC=UBERON:0000955	NT=neural cell;AC=CL:0002319	normal	NOVA1 ar/ar	not applicable	not applicable	NT=single cell;AC=PRIDE:0000897	not applicable	NeanCTRL_E21	1	not available	not available	21	run 70	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	not available	400	1000	20	not available	NeanCTRL	1	1	20240626_Ast_Neo_Aurora_25um-75umID_FAIMS_CV-50_20mz_DIA_400-1000_50maxIT_800agc_25nce_36m_NeanCTRL_Row_E_E21.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	manual curation	NOVA1 ar/ar	not applicable
NeanCTRL_E22	NT=Homo sapiens;AC=NCBITaxon:9606	NT=brain;AC=UBERON:0000955	NT=neural cell;AC=CL:0002319	normal	NOVA1 ar/ar	not applicable	not applicable	NT=single cell;AC=PRIDE:0000897	not applicable	NeanCTRL_E22	1	not available	not available	22	run 71	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	not available	400	1000	20	not available	NeanCTRL	1	1	20240626_Ast_Neo_Aurora_25um-75umID_FAIMS_CV-50_20mz_DIA_400-1000_50maxIT_800agc_25nce_36m_NeanCTRL_Row_E_E22.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	manual curation	NOVA1 ar/ar	not applicable
NeanCTRL_E23	NT=Homo sapiens;AC=NCBITaxon:9606	NT=brain;AC=UBERON:0000955	NT=neural cell;AC=CL:0002319	normal	NOVA1 ar/ar	not applicable	not applicable	NT=single cell;AC=PRIDE:0000897	not applicable	NeanCTRL_E23	1	not available	not available	23	run 72	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	not available	400	1000	20	not available	NeanCTRL	1	1	20240626_Ast_Neo_Aurora_25um-75umID_FAIMS_CV-50_20mz_DIA_400-1000_50maxIT_800agc_25nce_36m_NeanCTRL_Row_E_E23.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	manual curation	NOVA1 ar/ar	not applicable
NeanCTRL_E24	NT=Homo sapiens;AC=NCBITaxon:9606	NT=brain;AC=UBERON:0000955	NT=neural cell;AC=CL:0002319	normal	NOVA1 ar/ar	not applicable	not applicable	NT=single cell;AC=PRIDE:0000897	not applicable	NeanCTRL_E24	1	not available	not available	24	run 73	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	not available	400	1000	20	not available	NeanCTRL	1	1	20240626_Ast_Neo_Aurora_25um-75umID_FAIMS_CV-50_20mz_DIA_400-1000_50maxIT_800agc_25nce_36m_NeanCTRL_Row_E_E24.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	manual curation	NOVA1 ar/ar	not applicable
NeanCTRL_F1	NT=Homo sapiens;AC=NCBITaxon:9606	NT=brain;AC=UBERON:0000955	NT=neural cell;AC=CL:0002319	normal	NOVA1 ar/ar	not applicable	not applicable	NT=single cell;AC=PRIDE:0000897	not applicable	NeanCTRL_F1	1	not available	not available	25	run 74	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	not available	400	1000	20	not available	NeanCTRL	1	1	20240626_Ast_Neo_Aurora_25um-75umID_FAIMS_CV-50_20mz_DIA_400-1000_50maxIT_800agc_25nce_36m_NeanCTRL_Row_F_F1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	manual curation	NOVA1 ar/ar	not applicable
NeanCTRL_F2	NT=Homo sapiens;AC=NCBITaxon:9606	NT=brain;AC=UBERON:0000955	NT=neural cell;AC=CL:0002319	normal	NOVA1 ar/ar	not applicable	not applicable	NT=single cell;AC=PRIDE:0000897	not applicable	NeanCTRL_F2	1	not available	not available	26	run 75	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	not available	400	1000	20	not available	NeanCTRL	1	1	20240626_Ast_Neo_Aurora_25um-75umID_FAIMS_CV-50_20mz_DIA_400-1000_50maxIT_800agc_25nce_36m_NeanCTRL_Row_F_F2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	manual curation	NOVA1 ar/ar	not applicable
NeanCTRL_F3	NT=Homo sapiens;AC=NCBITaxon:9606	NT=brain;AC=UBERON:0000955	NT=neural cell;AC=CL:0002319	normal	NOVA1 ar/ar	not applicable	not applicable	NT=single cell;AC=PRIDE:0000897	not applicable	NeanCTRL_F3	1	not available	not available	27	run 76	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	not available	400	1000	20	not available	NeanCTRL	1	1	20240626_Ast_Neo_Aurora_25um-75umID_FAIMS_CV-50_20mz_DIA_400-1000_50maxIT_800agc_25nce_36m_NeanCTRL_Row_F_F3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	manual curation	NOVA1 ar/ar	not applicable
NeanCTRL_F4	NT=Homo sapiens;AC=NCBITaxon:9606	NT=brain;AC=UBERON:0000955	NT=neural cell;AC=CL:0002319	normal	NOVA1 ar/ar	not applicable	not applicable	NT=single cell;AC=PRIDE:0000897	not applicable	NeanCTRL_F4	1	not available	not available	28	run 77	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	not available	400	1000	20	not available	NeanCTRL	1	1	20240626_Ast_Neo_Aurora_25um-75umID_FAIMS_CV-50_20mz_DIA_400-1000_50maxIT_800agc_25nce_36m_NeanCTRL_Row_F_F4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	manual curation	NOVA1 ar/ar	not applicable
NeanCTRL_F5	NT=Homo sapiens;AC=NCBITaxon:9606	NT=brain;AC=UBERON:0000955	NT=neural cell;AC=CL:0002319	normal	NOVA1 ar/ar	not applicable	not applicable	NT=single cell;AC=PRIDE:0000897	not applicable	NeanCTRL_F5	1	not available	not available	29	run 78	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	not available	400	1000	20	not available	NeanCTRL	1	1	20240626_Ast_Neo_Aurora_25um-75umID_FAIMS_CV-50_20mz_DIA_400-1000_50maxIT_800agc_25nce_36m_NeanCTRL_Row_F_F5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	manual curation	NOVA1 ar/ar	not applicable
NeanCTRL_F6	NT=Homo sapiens;AC=NCBITaxon:9606	NT=brain;AC=UBERON:0000955	NT=neural cell;AC=CL:0002319	normal	NOVA1 ar/ar	not applicable	not applicable	NT=single cell;AC=PRIDE:0000897	not applicable	NeanCTRL_F6	1	not available	not available	30	run 79	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	not available	400	1000	20	not available	NeanCTRL	1	1	20240626_Ast_Neo_Aurora_25um-75umID_FAIMS_CV-50_20mz_DIA_400-1000_50maxIT_800agc_25nce_36m_NeanCTRL_Row_F_F6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	manual curation	NOVA1 ar/ar	not applicable
NeanCTRL_F7	NT=Homo sapiens;AC=NCBITaxon:9606	NT=brain;AC=UBERON:0000955	NT=neural cell;AC=CL:0002319	normal	NOVA1 ar/ar	not applicable	not applicable	NT=single cell;AC=PRIDE:0000897	not applicable	NeanCTRL_F7	1	not available	not available	31	run 80	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	not available	400	1000	20	not available	NeanCTRL	1	1	20240626_Ast_Neo_Aurora_25um-75umID_FAIMS_CV-50_20mz_DIA_400-1000_50maxIT_800agc_25nce_36m_NeanCTRL_Row_F_F7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	manual curation	NOVA1 ar/ar	not applicable
NeanCTRL_F8	NT=Homo sapiens;AC=NCBITaxon:9606	NT=brain;AC=UBERON:0000955	NT=neural cell;AC=CL:0002319	normal	NOVA1 ar/ar	not applicable	not applicable	NT=single cell;AC=PRIDE:0000897	not applicable	NeanCTRL_F8	1	not available	not available	32	run 81	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	not available	400	1000	20	not available	NeanCTRL	1	1	20240626_Ast_Neo_Aurora_25um-75umID_FAIMS_CV-50_20mz_DIA_400-1000_50maxIT_800agc_25nce_36m_NeanCTRL_Row_F_F8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	manual curation	NOVA1 ar/ar	not applicable
